Local time,open,high,low,close,volume
02.06.2019 00:00:00,1.11607,1.11741,1.11607,1.11736,11255.41999
03.06.2019 00:00:00,1.11736,1.12619,1.11601,1.12457,373774.7986
04.06.2019 00:00:00,1.12458,1.12774,1.12267,1.12536,410688.7489
05.06.2019 00:00:00,1.12535,1.13065,1.122,1.12286,399166.2091
06.06.2019 00:00:00,1.12286,1.1309,1.12008,1.12755,363147.4092
07.06.2019 00:00:00,1.12756,1.13477,1.12512,1.13334,347017.199
09.06.2019 00:00:00,1.1322,1.13308,1.13143,1.1319,10583.68
10.06.2019 00:00:00,1.1319,1.13243,1.12902,1.13179,319896.6192
11.06.2019 00:00:00,1.13179,1.13374,1.13013,1.13295,358230.8286
12.06.2019 00:00:00,1.13295,1.13434,1.12824,1.12924,374913.3091
13.06.2019 00:00:00,1.12924,1.13037,1.12683,1.12795,353159.9794
14.06.2019 00:00:00,1.12794,1.12891,1.12024,1.1205,344535.5695
16.06.2019 00:00:00,1.12089,1.12172,1.12088,1.12155,9786.539972
17.06.2019 00:00:00,1.12155,1.1247,1.12037,1.12242,244337.5096
18.06.2019 00:00:00,1.12244,1.12428,1.11813,1.11978,389080.9894
19.06.2019 00:00:00,1.11978,1.12542,1.11871,1.12357,323580.7694
20.06.2019 00:00:00,1.12357,1.13173,1.12351,1.12943,428182.4891
21.06.2019 00:00:00,1.12943,1.13777,1.1283,1.13679,407208.4491
23.06.2019 00:00:00,1.13695,1.13852,1.13662,1.1385,12484.90998
24.06.2019 00:00:00,1.1385,1.14039,1.13725,1.13991,295616.5996
25.06.2019 00:00:00,1.13993,1.14119,1.13442,1.13681,392497.9195
26.06.2019 00:00:00,1.1368,1.13913,1.13474,1.13735,341519.7597
27.06.2019 00:00:00,1.13734,1.13814,1.13477,1.13711,305256.3897
28.06.2019 00:00:00,1.13711,1.13933,1.13506,1.13681,276363.5501
30.06.2019 00:00:00,1.13595,1.1371,1.13581,1.13601,12054.49001
01.07.2019 00:00:00,1.13601,1.1364,1.12801,1.12868,303828.3804
02.07.2019 00:00:00,1.12868,1.13215,1.12751,1.12904,265697.2903
03.07.2019 00:00:00,1.12904,1.13123,1.12686,1.12873,261437.4703
04.07.2019 00:00:00,1.12873,1.12951,1.12731,1.12853,139704.7101
05.07.2019 00:00:00,1.12853,1.1286,1.12073,1.12235,258051.9001
07.07.2019 00:00:00,1.12215,1.12291,1.12215,1.12267,8220.180014
08.07.2019 00:00:00,1.12267,1.12344,1.12069,1.12151,213395.1302
09.07.2019 00:00:00,1.1215,1.12187,1.11933,1.12043,215624.1203
10.07.2019 00:00:00,1.12043,1.12643,1.12018,1.12583,278478.6504
11.07.2019 00:00:00,1.12585,1.12857,1.12451,1.12498,283354.6503
12.07.2019 00:00:00,1.12498,1.12748,1.12381,1.12698,253368.7903
14.07.2019 00:00:00,1.12666,1.12744,1.12626,1.1271,7055.790006
15.07.2019 00:00:00,1.12711,1.12838,1.12532,1.12597,213580.3503
16.07.2019 00:00:00,1.12598,1.12634,1.12018,1.12116,259555.0202
17.07.2019 00:00:00,1.12117,1.12335,1.11997,1.12273,224769.2401
18.07.2019 00:00:00,1.12273,1.1282,1.12051,1.1261,316722.3401
19.07.2019 00:00:00,1.12608,1.12683,1.12033,1.12192,282446.4002
21.07.2019 00:00:00,1.1215,1.12197,1.1214,1.12175,9741.040011
22.07.2019 00:00:00,1.12175,1.12253,1.12037,1.12042,227157.2503
23.07.2019 00:00:00,1.12042,1.1208,1.11457,1.11508,268169.2901
24.07.2019 00:00:00,1.11508,1.11558,1.11269,1.11419,271736.0403
25.07.2019 00:00:00,1.1142,1.11877,1.11013,1.11448,359874.9301
26.07.2019 00:00:00,1.11447,1.11509,1.1112,1.11247,260348.67
28.07.2019 00:00:00,1.11246,1.11325,1.11223,1.11295,5727.460003
29.07.2019 00:00:00,1.11295,1.11509,1.11128,1.11423,232842.4802
30.07.2019 00:00:00,1.11424,1.1161,1.11321,1.11568,277029.6202
31.07.2019 00:00:00,1.11568,1.1162,1.106,1.10715,355194.8099
01.08.2019 00:00:00,1.10715,1.10958,1.10268,1.10788,467627.9499
02.08.2019 00:00:00,1.10789,1.11164,1.10696,1.11057,464104.9701
04.08.2019 00:00:00,1.11042,1.11138,1.11033,1.11075,12836.59
05.08.2019 00:00:00,1.11079,1.12453,1.11064,1.12418,476042.98
06.08.2019 00:00:00,1.12418,1.12497,1.11675,1.12054,417917.68
07.08.2019 00:00:00,1.12053,1.12417,1.11791,1.12039,451342.6694
08.08.2019 00:00:00,1.12038,1.12323,1.11769,1.11861,340913.9494
09.08.2019 00:00:00,1.11861,1.12229,1.11833,1.11969,284956.7892
11.08.2019 00:00:00,1.11978,1.1208,1.11967,1.12073,7072.959981
12.08.2019 00:00:00,1.12074,1.12306,1.11619,1.12162,319337.1392
13.08.2019 00:00:00,1.12162,1.12285,1.11698,1.11764,377049.5392
14.08.2019 00:00:00,1.11764,1.11908,1.11305,1.11428,345279.3195
15.08.2019 00:00:00,1.11428,1.11583,1.10913,1.11103,416591.3184
16.08.2019 00:00:00,1.11105,1.11113,1.10662,1.10899,239920.6695
18.08.2019 00:00:00,1.10925,1.1101,1.10895,1.10919,7217.02997
19.08.2019 00:00:00,1.10918,1.11137,1.1076,1.10814,198728.5195
20.08.2019 00:00:00,1.10816,1.11066,1.10655,1.10972,202915.2895
21.08.2019 00:00:00,1.1097,1.1107,1.10804,1.10901,170929.5097
22.08.2019 00:00:00,1.10903,1.1113,1.10635,1.10836,215750.5596
23.08.2019 00:00:00,1.10835,1.11532,1.10516,1.1136,234770.3195
25.08.2019 00:00:00,1.11507,1.11639,1.11393,1.11433,15735.23995
26.08.2019 00:00:00,1.11433,1.11529,1.10942,1.11013,276142.3597
27.08.2019 00:00:00,1.11012,1.11159,1.10855,1.10893,211976.9695
28.08.2019 00:00:00,1.10894,1.10978,1.10733,1.10855,211310.9998
29.08.2019 00:00:00,1.10856,1.1093,1.10419,1.10589,208781.8498
30.08.2019 00:00:00,1.10589,1.10599,1.09632,1.0988,165279.2997
01.09.2019 00:00:00,1.09893,1.09962,1.09831,1.09904,3345.289987
02.09.2019 00:00:00,1.09903,1.09931,1.0958,1.09641,46407.73973
03.09.2019 00:00:00,1.09641,1.09786,1.0926,1.09725,134828.6748
04.09.2019 00:00:00,1.09725,1.10383,1.09715,1.10347,161293.59
05.09.2019 00:00:00,1.10346,1.10847,1.10166,1.1034,173375.1752
06.09.2019 00:00:00,1.1034,1.10572,1.10201,1.1025,155127.7202
08.09.2019 00:00:00,1.1026,1.10275,1.10195,1.10201,3734.600002
09.09.2019 00:00:00,1.10202,1.1068,1.10153,1.10469,134493.7501
10.09.2019 00:00:00,1.10469,1.10595,1.10305,1.10501,131830.0198
11.09.2019 00:00:00,1.10501,1.10555,1.09851,1.10135,127663.9698
12.09.2019 00:00:00,1.10134,1.10871,1.09268,1.10561,201762.5852
13.09.2019 00:00:00,1.1056,1.11094,1.1056,1.10707,159524.4701
